0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.04738949239253998,0.028743179515004158,0.8399988412857056,0.07813206315040588
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.17873412370681763,0.12284205108880997,0.5505398511886597,0.13919827342033386
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.226202130317688,0.10685031861066818,0.47886988520622253,0.17616640031337738
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,True,0.13020749390125275,0.13020749390125275,0.45446881651878357,0.2756492793560028
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,False,0.2012922465801239,0.10774397850036621,0.4828750193119049,0.2012922465801239
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.12621080875396729,0.12621080875396729,0.4405190050601959,0.30276399850845337
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.21397438645362854,0.1666434109210968,0.3997567594051361,0.21397438645362854
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.25482437014579773,0.05685899779200554,0.6112918853759766,0.07300840318202972
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,False,0.31658318638801575,0.19201742112636566,0.4065008759498596,0.08004476130008698
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.43275558948516846,0.06636521965265274,0.4903763234615326,0.004807480610907078
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.370903879404068,0.19853055477142334,0.2888602316379547,0.136447936296463
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.4373943507671356,0.09759587794542313,0.3859991729259491,0.059194888919591904
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.3189883530139923,0.2815062403678894,0.36146116256713867,0.03362112492322922
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.18430179357528687,0.1117846742272377,0.6432764530181885,0.052803345024585724
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.18756486475467682,0.1289113312959671,0.577740490436554,0.10039623081684113
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.16992977261543274,0.08026913553476334,0.593113124370575,0.14996248483657837
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.2649395167827606,0.18209008872509003,0.3854846954345703,0.1606939285993576
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.2801109850406647,0.13231505453586578,0.4075590670108795,0.16989588737487793
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.28414449095726013,0.17234234511852264,0.3648487329483032,0.17234234511852264
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.37949201464653015,0.17925934493541718,0.33490052819252014,0.0846761167049408
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.26053810119628906,0.37908071279525757,0.29522836208343506,0.05813391134142876
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,False,0.14394338428974152,0.08730608224868774,0.7310048341751099,0.028344133868813515
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.22194702923297882,0.28498563170433044,0.41465163230895996,0.0720556452870369
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.35211923718452454,0.06118914857506752,0.5123304724693298,0.06933638453483582
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.46054863929748535,0.09068740159273148,0.40643274784088135,0.03336203470826149
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.6231784224510193,0.09556750953197479,0.2597794234752655,0.012933655641973019
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.18483968079090118,0.12703832983970642,0.4434073269367218,0.2373388558626175
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.18241088092327118,0.08616479486227036,0.3861638307571411,0.3407883644104004
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.3496488332748413,0.06884993612766266,0.5087360143661499,0.060759857296943665
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,False,0.2481439858675003,0.10344179719686508,0.525320827960968,0.11721491813659668
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.2650739252567291,0.18218247592449188,0.38568028807640076,0.16077546775341034
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,True,0.32488101720809937,0.13543055951595306,0.4171554744243622,0.10547342151403427
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.2483084499835968,0.10351036489009857,0.2813703417778015,0.3612866699695587
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.3165765404701233,0.2465500682592392,0.3165765404701233,0.11646201461553574
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.109965480864048,0.021653488278388977,0.812541127204895,0.05194401368498802
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.11319328844547272,0.23963019251823425,0.39508339762687683,0.23963019251823425
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.35070088505744934,0.12901565432548523,0.35070088505744934,0.1656593680381775
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.188163161277771,0.24160629510879517,0.4513799846172333,0.11412673443555832
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.13977722823619843,0.05142117291688919,0.7098473906517029,0.0960673987865448
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.17402899265289307,0.22345764935016632,0.5360470414161682,0.06402169167995453
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.18825431168079376,0.06925489753484726,0.4515986144542694,0.273908406496048
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.36408159136772156,0.19487884640693665,0.2835470139980316,0.15177178382873535
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.16656875610351562,0.27462542057037354,0.4527807831764221,0.10102905333042145
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.40954917669296265,0.11733780056238174,0.36142587661743164,0.1035502478480339
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.28779667615890503,0.13594552874565125,0.36953821778297424,0.19779956340789795
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,False,0.12541937828063965,0.05924392491579056,0.7217387557029724,0.08619940280914307
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.08075476437807083,0.0628918707370758,0.5967015027999878,0.24874217808246613
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.4065479040145874,0.16947437822818756,0.3166198432445526,0.10279140621423721
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.24478639662265778,0.24478639662265778,0.4035845398902893,0.10204215347766876
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.13181622326374054,0.07995057106018066,0.46008381247520447,0.31621068716049194
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,False,0.16411949694156647,0.1127975583076477,0.5728332996368408,0.14483493566513062
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.19516249001026154,0.10446295142173767,0.41315898299217224,0.2839597463607788
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.18864384293556213,0.07863844931125641,0.4525330662727356,0.27447518706321716
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.09273383766412735,0.15289224684238434,0.3667694628238678,0.3667694628238678
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.27905043959617615,0.19178839027881622,0.4060159921646118,0.11632553488016129
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.40909454226493835,0.13281355798244476,0.3610246777534485,0.09128133207559586
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,True,0.12163219600915909,0.03075343370437622,0.7931414842605591,0.05070383846759796
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.31571152806282043,0.19148872792720795,0.27861443161964417,0.19148872792720795
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,False,0.15964554250240326,0.1809021234512329,0.49174290895462036,0.15964554250240326
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.18319100141525269,0.09805505722761154,0.4979647099971771,0.20758257806301117
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.320901483297348,0.24991832673549652,0.363629013299942,0.05576431751251221
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.3655325472354889,0.11867104470729828,0.4693531095981598,0.03852684795856476
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.18346132338047028,0.07647805660963058,0.4986995458602905,0.23556898534297943
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.3026898503303528,0.14298056066036224,0.34299251437187195,0.20803548395633698
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.06737524271011353,0.12587353587150574,0.5641260147094727,0.23516270518302917
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,False,0.34928226470947266,0.11339534819126129,0.4484873116016388,0.07793540507555008
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,False,0.32027626037597656,0.1039784774184227,0.46599918603897095,0.1039784774184227
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.10509080439805984,0.2224772423505783,0.4156422019004822,0.25209975242614746
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.37274518609046936,0.19951613247394562,0.32894647121429443,0.09424474090337753
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.35591399669647217,0.10197106748819351,0.35591399669647217,0.16812187433242798
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,False,0.23141466081142426,0.29714229702949524,0.3815382719039917,0.08513269573450089
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.13826118409633636,0.2926989495754242,0.4258744418621063,0.13826118409633636
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,False,0.3921339213848114,0.1273072510957718,0.44434595108032227,0.03218831494450569
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,False,0.1543280929327011,0.22454605996608734,0.2883228361606598,0.32671257853507996
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.1061001718044281,0.09363307058811188,0.691860020160675,0.1061001718044281
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.31545671820640564,0.1315019279718399,0.4589867889881134,0.07975994050502777
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.06614511460065842,0.06614511460065842,0.6275674104690552,0.23086915910243988
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.15085221827030182,0.15085221827030182,0.46465757489204407,0.2194886952638626
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.3925377130508423,0.12743833661079407,0.3925377130508423,0.07729525864124298
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.10729071497917175,0.17689248919487,0.48084360361099243,0.22713443636894226
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.3037165403366089,0.11173106729984283,0.5007439255714417,0.06776831299066544
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,False,0.15440888702869415,0.0826491191983223,0.6920126080513,0.06436719745397568
An airplane's black box is usually what color?,black,white,orange,purple,C,True,0.19390900433063507,0.10379199683666229,0.5270993113517761,0.17112408578395844
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.2275272160768509,0.09484744817018509,0.37512895464897156,0.29215070605278015
