0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
The main factor preventing subsistence economies from advancing economically is the lack of,a currency.,a well-connected transportation infrastructure.,government activity.,a banking service.,B,False,0.09600382298231125,0.10878659784793854,0.48754769563674927,0.2957126200199127
The tendency for a population to continue to grow long after replacement fertility has been achieved is called,zero population growth.,rapid growth rate.,homeostatic plateau.,demographic momentum.,D,False,0.046620823442935944,0.05282831937074661,0.44232606887817383,0.44232606887817383
The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,C,True,0.15481935441493988,0.08286882936954498,0.3713923394680023,0.3713923394680023
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form?",First,Second,Third,Fourth,A,False,0.13410934805870056,0.06334876269102097,0.4680875837802887,0.32171159982681274
Which of the following statements is TRUE concerning women in the labor force?,Most women work in agriculture,The percentage of women economically active in the labor force declined worldwide,The percentage of women in the total labor force declined,Women spend more hours per day working than men in all regions except Anglo America and Australia,D,False,0.04630870744585991,0.03839126601815224,0.7243900895118713,0.16163328289985657
All the following factors can be considered pull factors of migration EXCEPT,safety.,better climate.,better schools.,overcrowding.,D,True,0.05841686204075813,0.031268294900655746,0.3361658453941345,0.5542437434196472
Which of the following countries does NOT have a well-known example of a relict boundary?,Vietnam,United Kingdom,Germany,Bolivia,D,True,0.07442378252744675,0.057961296290159225,0.2943517863750458,0.5499215126037598
Which form of migration below are farm workers from another country most likely to be practicing during the year?,Chain migration,Cluster migration,Circular migration,International migration,C,True,0.12843452394008636,0.06066817790269852,0.3956061899662018,0.3956061899662018
Which of the following is a centrifugal force in a country?,Religious differences,A national holiday,An attack by another country,A charismatic national leader,A,False,0.08059679716825485,0.08059679716825485,0.4638025760650635,0.36120980978012085
Early settlements and high population density along coastlines and rivers are best attributed to which of the following?,Mediterranean climate,Limited forest cover,Growth of manufacturing,Access to trade routes,D,False,0.06899378448724747,0.06899378448724747,0.5776779055595398,0.27287572622299194
The first stage of the demographic transition exhibits,high birth rates with high but fluctuating death rates.,declining birth rates with continuing high death rates.,low birth rates with continuing high death rates.,high birth rates with declining death rates.,A,False,0.2641361355781555,0.2330993264913559,0.1413818895816803,0.3391575217247009
What is the population statistic that tells us the level of fertility at which a population will have just enough births to replace parents and compensate for early deaths?,Crude birth rate,Replacement level,Mortality rate,Total fertility rate,B,False,0.11568018049001694,0.10208740085363388,0.31445133686065674,0.45752397179603577
What is the most rapidly growing religion in the United States today?,Islam,Christianity,Hinduism,Buddhism,A,False,0.05001815780997276,0.028499489650130272,0.28783464431762695,0.6093459129333496
The outlying area serviced by a urban center is referred to as a,redline area.,threshold.,range.,hinterland.,D,False,0.08757121860980988,0.08757121860980988,0.5039376020431519,0.3056536018848419
The best definition of an urban area is,the central city and its developed areas.,the central city and its surrounding suburbs.,the central city and its hinterlands.,the central city and the adjacent counties.,B,False,0.555829644203186,0.12402235716581345,0.262555330991745,0.031357765197753906
Which of the following religions developed first?,Buddhism,Christianity,Islam,Hinduism,D,True,0.21704469621181488,0.13164427876472473,0.278690904378891,0.357846200466156
Which one of the following is NOT a characteristic of world cities?,World cities contain the headquarters of many transnational corporations.,World cities are well connected to secondary-level world cities.,World cities contain many offices of multinational organizations.,World cities are found only in the northern and western hemispheres.,D,True,0.15701082348823547,0.044984351843595505,0.22844937443733215,0.5480215549468994
Which type of transportation system created the star-shaped city pattern?,Highways to airports that link cities,Interstate highways that link cities,Beltways around cities,Streetcar and trolley lines extending from the CBD,D,False,0.2561172544956207,0.1553429663181305,0.3726484179496765,0.1994643360376358
