0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.1520105004310608,0.2839929759502411,0.1951853334903717,0.08136535435914993
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.22799985110759735,0.33173781633377075,0.2583576738834381,0.10769950598478317
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.1863626092672348,0.3481711745262146,0.1863626092672348,0.08803146332502365
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.35709697008132935,0.2454289346933365,0.19114024937152863,0.07031656056642532
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.2635939121246338,0.38352689146995544,0.15987779200077057,0.08557641506195068
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.4001597464084625,0.16681139171123505,0.3116447329521179,0.10117623209953308
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.18420720100402832,0.344144344329834,0.3037063181400299,0.08701331913471222
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.24817460775375366,0.3610919117927551,0.13283830881118774,0.1505255103111267
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.2508493661880493,0.32209694385528564,0.2213737815618515,0.09228232502937317
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.17359010875225067,0.32430902123451233,0.28620168566703796,0.1351921111345291
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.16537058353424072,0.24061277508735657,0.14593900740146637,0.0418122299015522
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.17135268449783325,0.2825128138065338,0.36275362968444824,0.13344961404800415
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.09022656828165054,0.2164423018693924,0.35685300827026367,0.19100965559482574
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.17134341597557068,0.32011163234710693,0.32011163234710693,0.17134341597557068
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.22892656922340393,0.377436101436615,0.20202699303627014,0.0655885562300682
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.13547147810459137,0.2867931127548218,0.19710983335971832,0.0821676030755043
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.27499687671661377,0.35310298204421997,0.1471952199935913,0.0787879228591919
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.2079342156648636,0.3428255617618561,0.1429109424352646,0.052574001252651215
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.19896885752677917,0.3717227578163147,0.22546124458312988,0.12068071216344833
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,True,0.2288210391998291,0.2938120365142822,0.2019338607788086,0.07428731769323349
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.2308385968208313,0.38058850169181824,0.1586528867483139,0.08492077142000198
"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",24%,44%,64%,84%,A,False,0.24046508967876434,0.3087632656097412,0.27248263359069824,0.10024075955152512
"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",25%,40%,55%,75%,D,False,0.2694741487503052,0.3920825719833374,0.2098666876554489,0.11233353614807129
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B,True,0.21806403994560242,0.2799997627735138,0.19244083762168884,0.10300616919994354
Which of the following is true as of 2020?,males are more likely to have depression and are more likely to have an alcohol use disorder than females.,females are more likely to have depression and are more likely to have an alcohol use disorder than males.,males are more likely than females to have depression while females are more likely than males to have an alcohol use disorder.,females are more likely than males to have depression while males are more likely than females to have an alcohol use disorder.,D,False,0.36891815066337585,0.15378797054290771,0.32556912302970886,0.11977019160985947
"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",37%,47%,57%,67%,D,False,0.19773970544338226,0.32601767778396606,0.17450468242168427,0.07274437695741653
"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",1%,3%,6%,10%,D,False,0.2924049496650696,0.2924049496650696,0.22772520780563354,0.1218925192952156
"As of 2019, about what share of electricity came from fossil fuels in the United States?",23%,43%,63%,83%,C,False,0.2269519567489624,0.33021315932273865,0.13765332102775574,0.10720451176166534
