0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.16795028746128082,0.35555073618888855,0.31377241015434265,0.11543042212724686
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.1923794448375702,0.4072672724723816,0.3171800673007965,0.08019568026065826
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.1631172150373459,0.44339853525161743,0.30474305152893066,0.07705110311508179
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.3317924737930298,0.29280582070350647,0.3317924737930298,0.03962695971131325
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.2534520924091339,0.47351083159446716,0.1973886787891388,0.07261524349451065
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.30854594707489014,0.12862108647823334,0.44893166422843933,0.1135077029466629
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,True,0.12866143882274628,0.3497380316257477,0.4490725100040436,0.0688675045967102
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.18851454555988312,0.45222288370132446,0.18851454555988312,0.16636352241039276
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.23894742131233215,0.3939576745033264,0.3068145513534546,0.053316373378038406
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,True,0.1256229728460312,0.38694602251052856,0.38694602251052856,0.09783527255058289
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.21887141466140747,0.40890562534332275,0.28103646636009216,0.04883681237697601
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.11433056741952896,0.2420378178358078,0.5123940706253052,0.12955351173877716
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.05066833645105362,0.20039717853069305,0.5447359681129456,0.20039717853069305
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.09371660649776459,0.2547481656074524,0.47593221068382263,0.17508569359779358
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.22007514536380768,0.4658990800380707,0.2825820744037628,0.02628422901034355
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,True,0.13606777787208557,0.36987051367759705,0.36987051367759705,0.10596968233585358
