0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.29349157214164734,0.17801162600517273,0.29349157214164734,0.22857145965099335
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.24384745955467224,0.18990857899188995,0.45556703209877014,0.10165074467658997
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.26915717124938965,0.20961982011795044,0.30499503016471863,0.20961982011795044
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.21907559037208557,0.28129860758781433,0.31875309348106384,0.1706162393093109
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.273078590631485,0.35063984990119934,0.21267381310462952,0.14616842567920685
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.19171755015850067,0.2789473831653595,0.40586602687835693,0.11628256738185883
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.29936400055885315,0.33922386169433594,0.29936400055885315,0.05202166736125946
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.2141992449760437,0.3116580545902252,0.3116580545902252,0.14721684157848358
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.14128652215003967,0.20557069778442383,0.43519315123558044,0.20557069778442383
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.1392151266336441,0.1577514261007309,0.42881277203559875,0.26008811593055725
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.16090750694274902,0.26529160141944885,0.43739190697669983,0.1253148764371872
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.2847040593624115,0.11868230253458023,0.4142419397830963,0.17268173396587372
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.18347109854221344,0.18347109854221344,0.49872609972953796,0.12609770894050598
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.20399318635463715,0.38110941648483276,0.2968083322048187,0.10918968170881271
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.25543543696403503,0.19893331825733185,0.4211418330669403,0.10648132860660553
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.058935362845659256,0.23309388756752014,0.5591631531715393,0.14137859642505646
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.11731952428817749,0.09136853367090225,0.464007705450058,0.3189075291156769
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.26211199164390564,0.3813706636428833,0.2041330188512802,0.14029844105243683
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.1454351246356964,0.30788615345954895,0.3953336179256439,0.1454351246356964
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.11543172597885132,0.16795216500759125,0.5173290967941284,0.19031475484371185
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.17080071568489075,0.21931248903274536,0.40972962975502014,0.19354258477687836
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.1547515094280243,0.32760894298553467,0.3712295889854431,0.13656774163246155
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.18610765039920807,0.16423945128917694,0.44644904136657715,0.18610765039920807
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.16835257411003113,0.31452399492263794,0.31452399492263794,0.19076845049858093
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.1910734474658966,0.27801021933555603,0.4045024812221527,0.11589190363883972
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.21484757959842682,0.189602330327034,0.31260138750076294,0.275869756937027
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.19373218715190887,0.3194103538990021,0.28187865018844604,0.19373218715190887
